5	2
7	4
8	2
10	1
13	1
17	1
20	2
21	2
25	4
28	2
30	1
37	4
38	1
41	3
42	3
43	2
44	1
46	2
48	2
53	2
54	4
55	2
59	2
62	4
63	2
66	2
67	4
68	2
70	2
71	4
74	1
76	2
79	2
80	2
84	1
88	3
90	1
92	2
93	2
94	1
95	1
96	1
97	1
98	4
99	2
100	2
101	1
102	1
103	4
104	1
105	4
110	1
111	1
113	2
114	2
118	3
119	2
121	2
123	4
124	1
126	2
129	2
131	1
133	1
134	1
135	1
136	2
144	1
146	1
147	1
148	1
149	3
150	4
151	4
154	2
155	1
157	1
158	2
159	2
160	1
161	1
164	1
169	2
170	3
171	2
174	4
176	3
177	2
180	2
182	1
183	4
184	2
185	2
193	2
195	3
197	4
198	2
199	2
200	2
201	1
202	1
203	2
204	2
205	1
206	1
207	3
208	1
209	1
210	4
211	4
216	1
217	1
221	1
224	1
228	1
229	4
230	2
231	4
233	1
237	1
238	1
239	2
240	2
241	3
254	4
255	2
258	3
259	1
262	1
263	4
264	3
266	1
269	4
270	2
271	1
273	4
275	2
278	1
280	2
281	4
285	1
291	1
292	1
293	1
295	4
305	2
308	4
309	1
312	2
314	1
315	2
317	1
318	3
319	1
320	1
321	4
322	1
329	3
331	4
332	4
337	1
338	2
341	4
343	2
348	2
349	2
350	1
351	2
352	2
353	1
355	3
356	3
358	2
359	2
360	4
361	3
362	1
365	4
374	3
375	1
376	3
377	1
381	4
383	4
384	4
386	2
388	1
389	99
390	4
397	3
398	4
399	1
403	1
404	2
405	1
406	2
407	1
408	1
409	1
410	2
411	1
412	1
417	1
419	3
420	3
421	4
428	2
429	2
430	2
432	2
435	1
437	2
438	2
440	1
441	1
455	4
456	1
457	1
459	1
461	3
462	1
463	4
464	2
465	4
466	2
468	2
469	2
470	2
474	2
476	2
482	1
483	1
484	2
488	2
489	3
493	4
494	4
495	1
501	4
503	2
505	1
508	1
509	1
511	2
512	1
513	1
514	2
516	1
517	2
522	4
523	1
527	1
529	1
530	3
531	1
533	1
535	1
537	1
539	2
544	4
546	2
548	2
558	2
559	3
560	2
561	4
563	1
564	4
566	2
571	2
575	4
581	2
582	4
583	2
584	2
586	1
588	2
597	1
599	4
600	1
601	1
602	2
603	1
604	1
605	2
606	2
607	3
608	2
613	1
615	4
618	4
621	3
623	2
627	2
628	1
630	1
632	4
635	2
636	1
637	1
638	1
647	1
648	1
649	1
650	1
651	2
653	2
654	1
656	4
657	1
658	4
659	2
660	2
661	1
665	1
666	2
667	3
670	2
672	4
673	2
674	1
678	3
680	2
685	1
686	2
689	1
691	1
692	1
693	2
694	2
695	1
696	2
703	2
709	1
712	1
713	2
715	3
716	3
717	2
719	3
721	1
722	2
724	2
725	1
728	1
731	1
734	2
735	1
737	2
738	2
742	1
745	2
749	3
752	1
753	 
754	 
755	1
756	1
757	2
758	1
759	2
760	 
761	 
762	 
763	 
764	1
765	2
766	4
767	3
768	1
769	1
770	1
771	2
772	3
773	 
774	 
775	 
776	2
777	3
778	2
779	 
780	 
781	 
782	 
783	2
784	 
785	 
786	 
787	1
788	1
789	3
790	 
791	 
792	 
793	 
794	 
795	 
796	 
797	 
798	 
799	99
800	2
801	 
802	4
803	1
804	 
805	 
806	 
807	 
808	 
809	 
810	4
811	 
812	4
813	4
814	 
815	1
816	2
817	 
818	 
819	 
820	 
821	 
822	 
823	 
824	2
825	 
826	 
827	1
828	2
829	 
830	 
831	4
832	1
833	 
834	 
835	 
836	 
837	 
838	 
839	 
840	 
841	 
842	 
843	2
844	2
845	 
846	1
847	4
848	 
849	3
850	4
851	 
852	 
853	 
854	 
855	 
856	 
857	 
858	 
859	1
860	4
861	4
862	 
863	4
864	4
865	 
866	2
867	2
868	 
869	1
870	2
871	 
872	 
873	1
874	 
875	1
876	 
877	 
878	1
879	4
880	 
881	 
882	 
883	 
884	 
885	3
886	 
887	 
888	 
889	 
890	 
891	 
892	3
893	 
894	 
895	 
896	2
897	 
898	4
899	4
900	3
